PM2.5,PM10,NO2,SO2,CO,O3,no,nh3,aqi_value
5.54,6.21,21.59,3.1,317.1,33.98,0.42,0.5,43
6.18,6.68,20.74,3.76,317.1,35.76,0.35,0.88,40
5.18,5.68,19.36,4.11,297.07,43.63,0.34,0.8,48
3.24,3.72,14.74,3.73,267.03,58.65,0.31,0.54,30
2.02,2.55,11.31,3.1,257.02,61.51,0.33,0.78,34
1.71,2.29,11.31,2.89,260.35,52.93,0.39,0.95,44
1.45,2.05,12.34,2.56,263.69,47.21,0.48,0.55,7
1.29,1.97,13.02,2.06,260.35,49.35,0.6,0.03,43
1.3,2.05,13.37,1.91,260.35,53.64,0.71,0.01,21
1.74,2.61,13.88,2.0,277.04,50.07,0.84,0.02,46
2.83,3.8,14.91,2.21,297.07,43.63,0.93,0.03,39
3.8,4.77,14.57,2.33,300.41,43.27,0.88,0.03,27
3.29,4.27,13.88,2.24,293.73,44.35,0.89,0.03,11
2.54,3.44,13.2,2.18,297.07,42.2,0.83,0.03,20
1.98,2.64,11.14,2.18,290.39,40.05,0.63,0.03,0
1.19,1.73,9.25,2.15,277.04,43.27,0.55,0.02,31
0.85,1.34,7.8,2.15,260.35,50.07,0.47,0.01,29
0.77,1.26,7.71,2.21,253.68,51.5,0.45,0.01,9
0.73,1.23,7.97,2.27,250.34,51.5,0.46,0.01,19
0.66,1.17,7.8,2.27,240.33,53.64,0.47,0.01,16
0.74,1.31,8.4,2.3,236.99,55.08,0.54,0.01,36
1.35,2.27,12.51,2.35,247.0,52.93,0.85,0.02,39
1.73,2.91,16.11,2.44,257.02,51.5,1.08,0.09,10
1.53,2.65,13.88,2.33,250.34,55.79,1.03,0.92,5
1.2,2.14,9.68,2.09,240.33,61.51,0.86,1.76,28
0.92,1.68,7.11,1.94,233.65,65.8,0.7,1.93,2
0.81,1.5,6.43,1.94,230.31,67.23,0.63,1.87,26
0.73,1.34,6.0,1.82,226.97,68.67,0.58,1.7,16
0.82,1.49,7.03,1.97,233.65,69.38,0.63,1.7,16
1.06,1.88,9.77,2.38,240.33,67.23,0.78,1.57,50
1.26,2.21,13.37,2.56,247.0,64.37,0.9,0.75,9
1.47,2.54,16.97,2.59,253.68,60.8,1.03,0.03,21
1.93,3.21,20.56,2.68,263.69,57.94,1.22,0.02,11
2.73,4.41,23.99,2.83,280.38,54.36,1.52,0.02,46
3.38,5.39,25.71,2.98,287.06,52.93,1.73,0.03,41
3.13,5.08,22.96,2.83,280.38,55.79,1.62,0.02,9
2.85,4.7,20.74,2.62,273.71,58.65,1.49,0.01,3
2.56,4.28,19.71,2.71,270.37,58.65,1.38,0.01,43
1.86,3.3,17.14,3.04,257.02,60.08,1.12,0.01,0
2.01,3.44,18.68,4.23,257.02,57.94,1.3,0.01,8
2.54,4.23,21.42,4.89,267.03,53.64,1.47,0.02,2
3.39,5.48,25.71,5.42,280.38,47.21,1.74,0.03,47
4.36,6.89,30.5,6.08,297.07,40.77,2.03,0.06,28
5.35,8.32,35.64,6.68,313.76,33.98,2.31,0.14,37
7.22,10.88,43.87,7.03,347.14,24.32,2.88,0.49,88
14.64,20.75,65.12,7.39,480.65,3.93,5.19,10.06,77
23.81,33.01,74.03,8.23,667.57,0.39,7.98,37.1,102
26.05,36.53,76.08,8.94,727.65,5.54,8.23,47.39,196
19.83,28.68,63.75,8.82,620.84,18.24,5.51,35.32,73
7.31,11.15,35.64,8.23,367.17,46.49,2.82,11.06,47
5.85,9.02,29.47,8.23,330.45,52.93,2.41,9.28,17
5.13,7.96,26.73,7.87,313.76,55.79,2.19,8.05,17
7.54,11.27,35.3,8.7,367.17,45.78,3.01,11.74,46
11.33,16.74,50.72,9.78,460.63,28.25,4.18,17.66,77
13.52,20.16,65.8,9.66,527.38,10.91,4.94,20.34,74
13.85,21.13,71.29,8.58,560.76,0.36,5.19,22.8,68
13.14,20.13,67.17,7.03,560.76,0.14,4.94,22.58,55
12.99,19.74,64.43,5.72,534.06,0.46,4.62,17.43,80
13.19,19.95,62.38,5.31,507.36,1.13,3.99,12.29,79
12.98,19.56,61.01,5.78,487.33,1.99,3.23,9.05,52
11.64,17.41,57.58,6.38,447.27,5.99,2.6,4.53,91
8.32,12.4,45.93,6.86,377.18,21.82,2.41,0.61,80
5.8,8.69,34.62,7.09,327.11,35.76,2.22,0.11,17
4.37,6.55,27.42,7.09,300.41,45.42,1.87,0.04,23
3.11,4.81,21.25,6.62,273.71,54.36,1.57,0.02,50
2.08,3.36,16.45,5.78,253.68,61.51,1.31,0.01,25
1.56,2.61,14.22,4.89,240.33,63.66,1.16,0.01,7
1.26,2.17,13.02,4.23,233.65,64.37,1.03,0.01,2
1.59,2.65,15.42,4.41,243.66,61.51,1.14,0.01,1
3.44,5.29,26.05,5.01,283.72,50.78,1.84,0.05,30
4.89,7.42,36.33,5.42,320.44,41.13,2.38,0.23,49
4.6,7.16,34.27,5.07,320.44,44.35,2.28,1.73,26
3.26,5.33,23.31,3.87,293.73,55.79,1.71,2.99,29
1.9,3.26,14.22,3.19,260.35,65.8,1.22,3.05,29
1.54,2.66,11.82,3.16,247.0,69.38,1.08,3.02,38
1.4,2.4,10.88,3.04,240.33,70.81,1.0,2.88,8
1.7,2.85,13.02,3.43,250.34,70.1,1.12,3.1,17
2.35,3.89,18.68,4.23,267.03,64.37,1.43,3.02,48
2.83,4.68,26.05,4.53,287.06,54.36,1.68,1.54,29
3.3,5.4,33.24,4.53,307.08,43.99,1.92,0.12,11
4.03,6.45,38.39,4.53,327.11,37.19,2.19,0.16,6
5.28,8.25,41.47,4.53,347.14,33.26,2.53,0.25,87
6.64,10.22,43.87,5.13,360.49,30.04,3.07,0.37,64
7.21,11.11,43.87,5.19,363.83,30.04,3.17,0.34,100
7.46,11.48,42.84,4.95,363.83,32.19,3.17,0.27,57
9.42,14.02,51.41,5.01,397.21,24.68,3.67,0.74,86
9.8,14.57,56.21,5.31,413.9,18.42,3.64,0.85,67
10.17,15.01,57.58,5.96,417.23,15.2,3.58,1.13,61
10.86,15.75,58.26,6.62,417.23,13.05,3.52,1.3,51
10.79,15.4,54.84,7.39,400.54,15.2,3.26,0.99,51
10.49,14.74,49.35,8.46,383.85,18.24,3.01,0.65,100
10.34,14.36,46.61,9.54,373.84,18.95,2.82,0.57,90
11.15,15.23,49.35,10.37,387.19,14.84,3.04,1.09,89
14.89,20.08,61.69,11.56,460.63,4.16,4.37,6.82,52
17.44,23.68,68.55,13.71,534.06,0.51,5.57,17.88,94
16.86,23.39,69.92,13.47,540.73,1.36,4.62,20.12,68
14.94,20.94,63.06,13.11,494.0,9.84,3.86,15.65,81
9.52,13.14,43.87,11.68,380.52,30.4,2.31,4.97,88
7.95,10.6,34.96,11.56,347.14,38.27,1.77,3.86,25
6.98,9.02,30.5,10.85,323.77,42.56,1.47,2.93,2
5.49,6.92,27.76,10.25,313.76,45.78,1.27,2.49,6
5.39,6.82,32.22,10.97,327.11,42.2,1.39,2.68,40
5.51,7.08,38.73,11.33,343.8,35.76,1.47,1.63,18
6.0,7.92,47.3,11.33,367.17,26.46,1.63,0.43,59
6.9,9.22,50.72,10.73,383.85,21.46,1.69,0.63,61
